VEILDRIFT SLAVIC-CELTIC - 500 Common Word Translations
Fantasy Language based on VeildriftSlavic-Celtic name patterns
Linguistic roots: South Slavic primary (Serbian/Bulgarian/Macedonian)
with broad Celtic blend (Old Irish primary, Breton/Welsh/Scottish Gaelic secondary)
Stylization: Fantasy-leaning, consistent feel prioritized.
Note: Distinct from Nordal which uses OCS/Polish — Veildrift uses South Slavic.

KEY SOURCE WORDS (Serbian/Bulgarian):
  Serbian: ja (I), ti (you), on/ona (he/she), mi (we), oni (they),
  i (and), ali (but), ne (not), na (on/at), od (from/of), za (for),
  sa (with), u (in/into), ili (or), ako (if), jer (because),
  biti (be), imati (have), raditi (do/work), reći (say), videti (see),
  ići (go), doći (come), znati (know), dati (give), uzeti (take),
  čovek (man/person), žena (woman), dete (child), kralj (king),
  zemlja (earth), vatra (fire), voda (water), nebo (sky), dan (day),
  mesec (moon), zvezda (star), dobar (good), veliki (great/big), istina (truth)
  Bulgarian: аз/az (I), ти/ti (you), той/toy (he), тя/tya (she),
  и/i (and), но/no (but), не/ne (not), на/na (on/at), от/ot (from),
  за/za (for), с/s (with), в/v (in), или/ili (or), ако/ako (if),

KEY SOURCE WORDS (Celtic blend):
  Old Irish: mé (I), tú (you), é (he), sí (she), muid (we),
  agus (and), ach (but), ní (not), ar (on), ó (from/since), do (to/for),
  le (with), nó (or), má (if), mar (as/like), is (be/am),
  duine (person), bean (woman), mac (son), rí (king), tír (land),
  tine (fire), uisce (water), spéir (sky), lá (day), gealach (moon),
  réalt (star), maith (good), mór (great/big), fíor (true),
  Breton: ur/un (a), ha (and), met (but), ne...ket (not), war (on),
  diouz (from), evit (for), gant (with), pe (or), ma (if),
  Scottish Gaelic: mi (I), thu (you), e (he), i (she), sinn (we),
  agus (and), ach (but), chan eil (not), air (on), bho (from),
  Welsh: dyn (man), tan (fire), dŵr (water), awyr (sky), dydd (day)

PHONETIC BRIDGE STRATEGY:
  South Slavic: hard consonants (č/š/ž), palatals, -ić/-ić diminutives,
  vowel-rich, -nje/-nje abstract nouns, verb aspect pairs
  Celtic: lenition (bh/mh/gh), broad/slender consonant distinction,
  -ach/-ech suffixes, compound words, mutation system
  Bridge: Both share: r liquids, n/m nasals, v/w sounds, open a/e/i vowels
  South Slavic -je/-nje meets Celtic -e/-che endings naturally
  Fantasy suffix system: -vrath (noun, fr. Serbian vrata=gate + Celtic -rath=fort),
  -dru (verb, fr. Breton -dru + Serbian -dru intensive), -slav (quality/glory,
  fr. Serbian slava=glory), -mhar (adj, fr. Irish -mhar = having quality of),
  -zelj (desire/spirit, fr. Serbian želja=wish + Celtic spirit roots),
  -nocht (dark/revealed, fr. Irish nocht=bare/revealed + Slavic noc=night)

===================================================================================
RANK | ENGLISH       | VEILDRIFT               | ROOT / NOTES
===================================================================================

--- ARTICLES & PRONOUNS ---
1    | the           | tavrath                 | Serb. ta (the/that) + -vrath
2    | a / an        | jedvrath                | Serb. jed- (one/a) + -vrath
3    | to            | dodru                   | Serb. do (to/until) + -dru
6    | it            | onvrath                 | Serb. on (it/he) + -vrath
8    | that          | onovrath                | Serb. ono (that/it) + -vrath
10   | it            | onvrath                 | same
11   | for           | zaslav                  | Serb. za (for) + -slav
14   | this          | ovvrath                 | Serb. ov (this) + -vrath
20   | this          | ovvrath                 | same
22   | his           | njegovrath              | Serb. njegov (his) + -rath
28   | her           | njenavrath              | Serb. njena (her) + -vrath
29   | she           | onamhar                 | Serb. ona (she) + -mhar
31   | an            | jedvrath                | same as a
34   | one           | jedanvrath              | Serb. jedan (one) + -vrath
35   | all           | svimhar                 | Serb. svi (all) + -mhar
37   | there         | tamoslav                | Serb. tamo (there) + -slav
38   | their         | njihovrath              | Serb. njihov (their) + -rath
39   | what          | štavrath                | Serb. šta (what) + -vrath
45   | who           | kovrath                 | Serb. ko (who) + -vrath
49   | me            | mevrath                 | Serb. me (me) + -vrath
50   | when          | kadvrath                | Serb. kad (when) + -vrath
55   | no            | nevrath                 | Serb. ne (no/not) + -vrath
63   | your          | tvojmhar                | Serb. tvoj (your) + -mhar
64   | good          | dobarmhar               | Serb. dobar (good) + -mhar
65   | some          | nekivrath               | Serb. neki (some) + -vrath
69   | other         | drugvrath               | Serb. drug (other/friend) + -vrath
83   | two           | dvavrath                | Serb. dva (two) + -vrath
85   | our           | naše slav               | Serb. naše (our) + -slav
95   | these         | ovivrath                | Serb. ovi (these) + -vrath
99   | us            | nasvrath                | Serb. nas (us) + -vrath
120  | got           | dobivrath               | Serb. dobi (got) + -vrath

--- BEING / EXISTENCE ---
2    | be / is / are | bitizdru                | Serb. biti (to be) + -zdru
70   | there         | tamoslav                | same as there
72   | seem          | činitimhar              | Serb. činiti (to seem/do) + -mhar
78   | think         | mislitivrath            | Serb. misliti (to think) + -vrath

--- PREPOSITIONS & CONJUNCTIONS ---
4    | of            | odslav                  | Serb. od (of/from) + -slav
5    | and           | ivrath                  | Serb./OIr. i/agus (and) + -vrath
12   | not           | nevrath                 | Serb. ne (not) + -vrath
13   | on            | navrath                 | Serb. na (on/at) + -vrath
14   | with          | sazdru                  | Serb. sa (with) + -zdru
19   | at            | kodvrath                | Serb. kod (at/near) + -vrath
21   | but           | alivrath                | Serb. ali (but) + -vrath
23   | by            | prizdru                 | Serb. pri (by/near) + -zdru
24   | from          | odzdru                  | Serb. od (from) + -zdru
30   | or            | ilivrath                | Serb. ili (or) + -vrath
32   | will          | hoćedru                 | Serb. hoće (will/want) + -dru
33   | my            | mojslav                 | Serb. moj (my) + -slav
