APISDREN BHUTAN-AKSUMITE - 500 Common Word Translations
Fantasy Language based on ApisdrenBhutan-Askumite name patterns
Linguistic roots: Dzongkha/Tibetan (Bhutanese) + Ge'ez/Aksumite (ancient Ethiopian)
Stylization: Fantasy-leaning, consistent feel prioritized over direct translation.
Phonetic bridges: Both languages share short open syllables, velar/uvular stops
(k, q, kh), nasal clusters (-ng, -nd, -mb), and vowel-final words.

KEY SOURCE WORDS:
  Dzongkha/Tibetan: kho (he), mo (she), nga (I/me), khyed (you), kho-tsho (they),
  yod (there is/have), ma (not), la (honorific/yes), gi (of/possessive),
  yul (country/place), chu (water), me (fire), sa (earth/ground), nam (sky),
  nyi-ma (sun), da-wa (moon), kar-ma (star/action), nyin (day), tsa (root/hot),
  chenpo (great), yagpo (good), den (truth/real), mi (person), dung (longing)
  Ge'ez/Aksumite: ʾegziʾ (lord), hagär (country), mai (water), ʾəsät (fire),
  mədr (earth), samay (sky), ʾIyäsus (name root), birhan (light), lelit (night),
  tsom (fast/river), ʾabiy (great), tsäda (white), qal (word/voice), nägär (thing/matter),
  ḥaylu (power/force), zämän (time/era), ʾənda (like/as), tsəge (flower)

PHONETIC BRIDGE STRATEGY:
  Shared: k/q stops, open a/i/u vowels, nasal endings (-ng, -m, -n)
  Tibetan short syllables (chu, me, sa, nam) blend with Ge'ez CVC roots (qal, mai, mədr)
  Bridge suffix system: -ang (Tibetan nasal) + Ge'ez vowel-final = -anga, -enga
  Vocalic harmony: a and ä merge to a; ə rendered as e; retroflex lost, simplified
  Fantasy stylization: consonant clusters softened, tonal marks dropped,
  consistent suffixes applied: -en (noun), -ang (adjective), -eïr (verb), -om (place/abstract)

===================================================================================
RANK | ENGLISH       | APISDREN                | ROOT / NOTES
===================================================================================

--- ARTICLES & PRONOUNS ---
1    | the           | khen                    | Tib. khe (that/the) + -n
2    | a / an        | zhen                    | Ge'ez ze (a/one/this) + -n
3    | to            | laeïr                   | Tib. la (to/toward) + -eïr
6    | it            | khoten                  | Tib. kho (he/it) + -ten
8    | that          | dehen                   | Ge'ez -ze/-de (that) + -en
10   | it            | khoten                  | same as above
11   | for           | dongom                  | Tib. don (purpose/for) + -om
14   | this          | diren                   | Tib. di (this) + -en
20   | this          | diren                   | same
22   | his           | khoel                   | Tib. kho (his) + -el
28   | her           | moel                    | Tib. mo (her) + -el
29   | she           | monga                   | Tib. mo (she) + -nga
31   | an            | zhen                    | same as a
34   | one           | chigom                  | Tib. chig (one) + -om
35   | all           | tamang                  | Tib. tamche (all) + -ang
37   | there         | phaen                   | Tib. pha (there/that side) + -en
38   | their         | khongel                 | Tib. khong (they/their) + -el
39   | what          | karen                   | Tib. ka (what) + -en
45   | who           | suen                    | Tib. su (who) + -en
49   | me            | ngaen                   | Tib. nga (I/me) + -en
50   | when          | nambren                 | Tib. nam (when/time) + -en
55   | no            | manen                   | Tib. ma (not/no) + -en
63   | your          | khyedel                 | Tib. khyed (your) + -el
64   | good          | yagpang                 | Tib. yagpo (good) + -ang
65   | some          | zhigang                 | Tib. zhig (some/a) + -ang
85   | our           | ngangel                 | Tib. ngang (our/within) + -el
95   | these         | ditsang                 | Tib. di-tsho (these) + -ang
99   | us            | ngatshen                | Tib. nga-tsho (us) + -en

--- BEING / EXISTENCE ---
2    | be / is / are | yodeïr                  | Tib. yod (to be/exist) + -eïr
70   | there         | phaen                   | same as there above
72   | seem          | nangweïr                | Tib. nang (to appear/inside) + -weïr
