SOLARIRUM FRENCH - 500 Common Word Translations (REVISED)
Fantasy Language based on SolarirumFrench name patterns
Linguistic roots: Old French / Langue d'oïl (11th–13th century)
Words are evolved and stylized from Old French — not modern French directly.

KEY SOURCE WORDS (Old French):
  le/la/les (the), un/une (a), estre (to be), avoir (to have), faire (to do/make),
  dire (to say), veoir (to see), aler (to go), venir (to come), savoir (to know),
  vouloir (to want), donner (to give), tenir (to hold), sentir (to feel),
  homme (man), femme (woman), enfant (child), roi (king), peuple (people),
  terre (earth), feu (fire), eau (water), ciel (sky), nuit (night), jour (day),
  grant (great), bel (beautiful), bon (good), vrai (true), fort (strong)

NOTE: Old French phonology differs significantly from modern French:
  - Final consonants were pronounced
  - Many words ended in -er, -ier, -oir, -el, -al, -ain
  - Diphthongs were common: -ieu, -eau, -ai, -oi, -ui
  - Words like "estre" (être), "veoir" (voir), "savoir" retain archaic -re/-oir endings

===================================================================================
RANK | ENGLISH       | SOLARIRUM FRENCH        | OLD FRENCH ROOT / NOTES
===================================================================================

--- ARTICLES & PRONOUNS ---
1    | the           | lael                    | OF le/la + elvish -el suffix
2    | a / an        | aun                     | OF un/une stylized
6    | it            | ivel                    | OF il (it/he) + -el
14   | this          | cest                    | OF cest (this) — attested
38   | what          | quei                    | OF quei/quoi (what)
45   | who           | qui                     | OF qui (who) — attested
63   | your          | vostel                  | OF vostre (your) stylized
85   | our           | nostel                  | OF nostre (our) stylized
99   | us            | nousel                  | OF nous (us) + -el

--- BEING / EXISTENCE ---
2    | be / is / are | estre                   | OF estre (to be) — attested
70   | there         | iloel                   | OF iloe/illoc (there) stylized
72   | seem          | sembler                 | OF sembler (to seem) — attested
78   | think         | cuidier                 | OF cuidier (to think/believe)

--- PREPOSITIONS & CONJUNCTIONS ---
4    | of            | del                     | OF del/de (of) — attested
5    | and           | et                      | OF et (and) — attested
12   | not           | neïel                   | OF ne/neis (not/even not) stylized
13   | on            | surl                    | OF sur (on/over) stylized
14   | with          | avequel                 | OF avec (with) stylized + -el
21   | but           | maisiel                 | OF mais (but) + -iel
23   | by            | pariel                  | OF par (by/through) + -iel
24   | from          | devel                   | OF de (from) + -vel
30   | or            | ouvel                   | OF ou (or) + -vel
32   | into          | envel                   | OF en (into/in) + -vel
43   | if            | sivel                   | OF si (if) + -vel
44   | about         | entorel                 | OF entour (around/about) stylized
60   | because       | cariel                  | OF car (because/for) + -iel
71   | only          | solemel                 | OF solement (only) stylized
82   | also          | autresi                 | OF autresi (also/likewise) — attested
83   | after         | apriesel                | OF apriès (after) stylized
90   | even          | mesmeel                 | OF mesme (even/same) stylized
95   | these         | cestel                  | OF cestes (these) stylized
120  | until         | josqueel                | OF josque (until) stylized
154  | soon          | tostiel                 | OF tost (soon/quickly) + -iel
172  | since         | desqueel                | OF desque (since) stylized
183  | against       | encontrel               | OF encontre (against) stylized
192  | during        | enduriel                | OF endurer root (during) stylized
219  | toward        | versel                  | OF vers (toward) + -el
251  | still         | encoriel                | OF encor (still/yet) + -iel
261  | above         | desuriel                | OF desur (above) stylized
287  | behind        | derrieel                | OF derriere root stylized
332  | yes           | oïel                    | OF oïl (yes — langue d'oïl!) stylized
